'NOEMPLEADO','PATERNO','MATERNO','NOMBRE','SEXO','FECHANACIMIENTO','FECHAINGRESO','TIENDA','COLONIA','FREGISTRO'
224,'BARROSO','BORRERO','FABIAN','M',22/02/92,26/01/07,62,7179,
225,'MORAN','DOMINGUEZ','ABELARDO','M',09/08/75,09/12/04,284,8036,
226,'COTA','GOMEZ','UNAX','M',27/07/83,14/04/03,42,9374,
227,'ALVARADO','MARTINEZ','JUNE','F',12/05/86,03/03/99,132,6956,
228,'PEREZ','ULLOA','UDANE','F',31/08/66,26/01/05,239,8040,
229,'BOLAÑOS','NUÑEZ','EDITH','F',03/09/71,22/05/07,110,7381,
230,'NAVARRO','ESTUDILLO','FRANCISCO JAVIER','M',20/12/87,10/10/06,394,9045,
231,'VAZQUEZ','CARRASCO','AIDA','F',09/10/82,17/07/07,363,7993,
232,'GUTIERREZ','ESTUDILLO','LIZETH','F',04/07/95,27/02/09,227,7578,
233,'FERNANDEZ','DOMINGUEZ','IVÁN','M',21/07/71,14/06/10,142,6962,
234,'CARRASCO','DOMINGUEZ','ROSARIO','F',09/07/91,11/01/02,354,7787,
235,'DOMINGUEZ','CARMONA','ALEJANDRO','M',10/04/81,05/09/07,236,7560,
236,'DIAZ','HERREDA','PORFIRIO','M',11/11/81,05/09/13,272,8032,
237,'ALANIS','SOLANO','RODRIGO','M',11/01/71,13/05/03,376,7189,
238,'HIDALGO','SANCHEZ','LUCIO','M',18/05/64,13/04/16,249,7852,
239,'LUNA','PASCUAL','JARE','F',12/01/63,26/08/05,226,9382,
240,'NAVARRO','MALO','MARC','M',17/04/80,06/12/11,164,8002,
241,'FERNANDEZ','MONTERO','RITA','F',07/08/82,17/07/07,363,9338,
242,'MAYAGOITIA','PADILLA','JAVIER','M',21/10/69,22/11/08,213,7545,
243,'FERNANDEZ','GONZALEZ','CESAR','M',15/05/87,24/11/10,285,7748,
244,'MORA','ROJAS','VERONICA','F',24/03/88,21/04/11,371,9417,
245,'FUENTES','HERRERA','EZEQUIEL','M',05/08/61,10/01/16,125,7761,
246,'DOMINGUEZ','PEREZ','ELVIRA','F',05/10/75,10/07/17,19,7331,
247,'LECHUGA','JUAREZ','MIGUEL','M',16/06/67,10/07/01,87,9705,
374,'LEYVA','MORA','VANESSA','F',28/10/90,23/04/12,53,8007,
375,'MOYA','VAZQUEZ','ALDO','M',02/07/86,23/04/12,53,7395,
376,'SANTILLAN','ANDRADE','KATTALIN','F',05/09/82,13/07/12,382,7199,
377,'CASTRO','GIL','MARIA','M',19/09/64,26/07/03,55,8008,
378,'ALVARADO','MUÑOZ','IRMA','F',17/04/82,26/08/05,226,7776,
379,'HERNANDEZ','VALDERRAMA','JANET','F',03/04/78,22/10/98,36,7378,
380,'GURROLA','SOLIS','MARIANO','M',08/05/63,02/03/12,18,6967,
381,'LLAMAZARES','OLMOS','LUCÍA','F',28/05/90,13/03/06,70,7581,
382,'ALDAMA','DEL PRADO','ELOY','M',20/08/72,14/07/02,318,7576,
383,'IGLESIAS','SAEZ','KARINA','F',04/10/86,07/11/17,66,7866,
384,'MELGAR','PASCUAL','RAFAEL','M',21/09/78,20/03/00,177,9364,
385,'LUNA','CARRASCO','MIGUEL','M',12/04/77,27/12/12,30,7782,
386,'COTA','GUIJARDO','DEMETRIO','M',21/09/61,06/04/15,302,7754,
387,'MALO','ASTORGA','ALAZNE','F',27/03/82,28/12/07,74,6950,
388,'GOMEZ','NAVARRO','JULIO','M',18/12/95,07/02/03,327,7115,
389,'VELASCO','GALINDO','MICAELA','F',24/09/86,11/04/04,240,6948,
390,'ORTIZ','ALONSO','EDER','M',28/07/90,24/01/15,248,7751,
391,'BENITEZ','GUTIERREZ','ALVARO','M',25/06/81,06/06/15,170,7415,
392,'VELASCO','ALVARADO','ANGELINA','F',12/10/95,03/12/05,39,7852,
393,'ORTEGA','JIMENEZ','EMMA','F',04/12/78,08/06/16,304,7369,
394,'BORJA','PALACIO','CYNTHIA','F',10/08/75,25/10/98,11,9069,
395,'MONTERO','CRUZ','GUILLERMO','M',05/05/70,19/07/03,242,7805,
396,'VEGA','FLORES','ALEJANDRA','F',10/06/92,26/04/04,322,9699,
397,'DEL TORO','MARRUFO','IRENE','F',30/08/87,13/09/99,173,8013,
398,'PARGA','ARIAS','ROSALIO','M',12/05/88,07/09/06,122,6969,
399,'SUAREZ','VELAZQUEZ','ELVA','F',30/12/64,29/11/05,47,7587,
400,'MANJARREZ','SAUCEDO','EUSEBIO','M',14/11/67,27/08/00,155,7109,
401,'FLORES','DIAZ','EVELIA','F',24/07/91,25/10/12,107,7841,
402,'MARTIN','ANDRADE','PERLA','F',06/06/69,23/01/03,33,9375,
403,'MARTINEZ','MELGAR','CONSTANTINO','M',23/03/85,03/10/16,106,7125,
404,'DEL TORO','MATAMOROS','CYNTHIA','F',29/10/84,12/09/13,51,9701,
405,'ALONSO','JIMENEZ','OIHAN','M',05/03/89,08/04/02,9,7763,
406,'HERNANDEZ','MORALES','LETICIA','F',23/06/86,08/03/00,40,9020,
407,'GALINDO','NAVARRO','MINERVA','F',04/11/63,26/07/10,100,7563,
408,'ALARCON','FIDALGO','AARON','M',12/07/75,18/08/14,332,7774,
409,'VENTURA','JIMENEZ','MARLENE','F',20/06/62,08/07/08,64,7160,
410,'NAVARRO','MARTINEZ','MARIBEL','F',24/09/71,08/01/04,119,9719,
411,'DEL PRADO','FERRERO','AURORA','F',11/02/91,31/07/06,377,7979,
412,'LOPEZ','ORTIZ','LEO','M',14/04/62,03/02/11,124,9369,
413,'VEGA','SANTOS','ANGELA','F',08/03/93,15/08/07,31,7785,
414,'RODRIGUEZ','VEGA','ADELA','F',19/10/88,27/12/12,30,7143,
415,'HERNANDEZ','MACIAS','LORENZO','M',25/03/91,30/11/02,380,7867,
416,'DIEZ','OCAÑA','RUBI','F',19/04/92,28/08/16,372,9708,
417,'NEDER','BRETADO','NIDIA','F',05/08/88,27/10/98,200,7840,
418,'GIL','REYES','IZARO','F',07/03/72,23/01/03,33,9050,
419,'ESTUDILLO','BORJA','NICOLÁS','M',05/06/63,28/02/03,386,7139,
420,'ARIAS','GONZALEZ','MARCO','M',06/08/97,19/07/14,38,7343,
421,'DIAZ','PASTOR','MARCOS','M',05/10/78,22/05/99,220,7612,
422,'VAZQUEZ','SANCHEZ','RICARDO','M',07/05/79,10/02/02,338,9722,
423,'ESTUDILLO','GUTIERREZ','EKAIN','M',06/01/95,09/09/01,187,7570,
424,'LOPEZ','GARCIA','ISAIAS','M',29/12/69,25/12/11,311,7778,
425,'GURROLA','VELASCO','ARMANDO','M',05/02/69,16/08/12,251,9376,
426,'DIEZ','DOMINGUEZ','ISAAC','M',26/02/76,17/12/05,237,7349,
427,'DEL BOSQUE','ALVAREZ','ALFONSO','M',04/03/61,22/11/08,213,7571,
428,'CORDERO','LINARES','MILTON','M',29/05/67,23/08/11,8,8043,
429,'VARELA','HIGUERA','ORLANDO','M',25/07/72,29/05/07,166,7127,
430,'JORDAN','LOPEZ','SELENE','F',30/08/79,23/02/17,58,6942,
431,'GARCIA','MARTIN','LOURDES','F',07/10/75,27/03/17,188,9337,
432,'CORAL','CRESPO','MIREYA','F',07/04/76,20/11/98,283,7833,
433,'ESPINOZA','RAMOS','SONIA','F',21/09/71,24/09/10,141,7118,
434,'PIZARRO','CABRERA','MANUELA','F',21/04/60,28/06/03,198,9372,
435,'BRETADO','FIDALGO','KARINA','F',30/07/72,13/07/12,382,7386,
436,'PEREZ','CASADO','MARIA DEL PILAR','F',25/04/64,20/12/01,218,7584,
437,'CRESPO','ALARCON','ROSARIO','F',25/09/91,18/01/12,133,9014,
438,'LOAIZA','ALVAREZ','LAURA','F',19/08/81,12/04/98,297,7152,
439,'MORALES','VIDAL','ARNULFO','M',20/10/95,07/11/17,66,7993,
440,'PEYRO','NUÑEZ','MALEN','F',28/04/66,27/11/06,104,8026,
441,'CARRASCO','DIAZ','ARELI','F',29/08/87,07/09/06,122,7811,
442,'NIETO','NEDER','ROBERTO','M',04/07/78,26/07/03,55,7772,
443,'GARRIDO','BORRERO','OIER','M',28/04/66,13/05/06,310,7193,
444,'FUENTES','DEL PRADO','JUAN DE DIOS','M',10/05/86,11/07/01,205,6963,
445,'CALVO','MOYA','URTZI','M',25/02/96,01/03/99,370,7625,
446,'CERVANTES','DIAZ','SALVADOR','M',19/02/91,06/08/06,48,9338,
447,'NAVARRO','VALDERRAMA','MILTON','M',18/12/77,24/03/00,325,9360,
448,'DEL PRADO','SAENZ','RICARDO','M',04/05/77,10/07/17,19,9414,
449,'PRIETO','URBINA','OSWALDO','M',29/06/91,24/01/17,247,9403,
450,'RAMIREZ','MUÑOZ','MILTON','M',26/06/62,21/08/13,137,7557,
451,'PASCUAL','NUÑEZ','LUCIANO','M',30/03/89,15/04/00,50,7819,
452,'SUAREZ','RAMIREZ','JUAN','M',27/01/74,26/07/10,100,9724,
453,'DOMINGUEZ','HERNANDEZ','URIEL','M',11/06/90,13/11/98,339,7805,
454,'LEDEZMA','FLORES','MARIA','M',16/04/80,25/12/97,341,7862,
455,'RODRIGUEZ','SUAREZ','RICARDO','M',21/10/77,23/08/01,329,9334,
456,'ROBLES','HERNANDEZ','NAHIKARI','F',04/12/63,06/06/15,170,6951,
457,'VILLEGAS','ESPINOSA','NADIA','F',08/06/85,12/06/04,140,8017,
458,'ULLOA','SANTIAGO','MANUEL','M',23/06/69,30/03/00,172,7160,
459,'ESPINOZA','BOLAÑOS','NORA','F',25/08/69,09/07/10,44,8022,
460,'GIL','ASTORGA','EDITH','F',13/08/72,07/01/99,255,9417,
461,'URBINA','GONZALEZ','MAXIMO','M',14/02/83,01/05/11,243,8024,
462,'ROBLES','FUENTES','DANIELA','F',01/11/62,03/12/05,39,9418,
463,'ROMAN','FERRERO','ADRIAN/ADRIÁN','M',18/09/70,28/02/03,386,7750,
464,'HIDALGO','CANO','JOSU','M',29/08/97,22/12/99,79,7862,
465,'VARELA','CRESPO','PETRA','F',20/04/68,25/05/05,45,9720,
466,'ALARCON','DOMINGUEZ','MARIA DEL CARMEN','F',18/06/93,02/08/02,267,8017,
467,'LOPEZ','VAZQUEZ','LAURA','F',06/10/62,29/09/05,184,9018,
468,'PEREZ','MARCOS','PASCUAL','M',09/11/62,11/02/11,378,9738,
469,'LORENZO','PADILLA','ADOLFO','M',02/11/73,30/05/07,280,7397,
470,'LUNA','MARIN','EKAIN','M',02/03/68,12/09/13,51,7362,
471,'ALAMEDA','NAVARRO','REFUGIO','M',19/03/72,19/07/14,38,7568,
472,'GALLARDO','VIDAL','ALDO','M',08/08/69,03/11/09,41,6969,
473,'CORDERO','MARTINEZ','ANGELES','F',07/06/71,15/04/00,50,9414,
474,'JUAREZ','SUAREZ','ELEAZAR','M',30/07/85,27/03/17,188,6955,
475,'HIDALGO','CASIO','GABRIELA','F',26/06/70,27/12/12,30,9365,
476,'CAMACHO','ALVARADO','PETRA','F',29/01/68,01/10/05,266,7191,
477,'RUIZ','BORRERO','VIRGILIO','M',25/06/97,29/06/13,91,8016,
478,'URBINA','VAZQUEZ','REFUGIO','M',21/11/92,16/08/12,209,7347,
479,'CASTILLA','SUAREZ','CARLOS','M',10/08/95,03/02/11,124,9047,
480,'VARGAS','UBILLOS','ESPERANZA','F',25/05/87,10/10/04,108,8036,
481,'CASTRO','CASTILLA','IRUNE','F',19/05/67,27/04/09,35,7818,
482,'MARQUEZ','MARTIN','IMELDA','F',08/10/97,11/04/05,88,7610,
483,'RAMOS','BRETADO','IVAN','M',27/09/94,27/07/08,6,7861,
484,'BARROSO','SANTILLAN','JULIAN','M',30/03/83,11/02/08,109,7142,
485,'ORTIZ','PASTOR','AIALA','F',27/02/83,30/04/18,143,7556,
486,'HIDALGO','RAMOS','ANA','F',04/08/87,08/07/08,154,7176,
487,'FERRER','MARIN','GUSTAVO','M',27/05/60,10/06/13,261,9394,
488,'SOLANO','GALLEGO','CONCEPCION','M',18/12/70,12/04/02,103,7403,
489,'MENDEZ','GIL','ELISA','F',16/10/85,01/03/13,301,9759,
490,'GUERRERO','RAMOS','REYNALDO','M',16/01/94,12/06/04,140,9035,
491,'MOYA','GONZALEZ','DAVID','M',12/01/67,02/03/17,336,7350,
492,'BERUMEN','YESCAS','CECILIO','M',28/03/65,14/02/16,326,9708,
493,'MARISCAL','PEREZ','ELENA','F',11/06/88,25/10/12,107,8022,
494,'NIETO','SAUCEDA','ARACELY','F',18/06/73,10/01/11,211,9344,
495,'ALLER','CASIO','WILBERT','M',03/06/78,23/02/14,57,9380,
496,'COLLINS','GOMEZ','MARA','F',06/02/86,12/06/04,140,7992,
497,'SUAREZ','VAZQUEZ','NALLELY','F',09/09/64,10/06/13,261,9384,
371,'CONTRERAS','CAMPOS','ELISEO','M',02/11/72,30/03/00,172,7416,
372,'FLORES','JIMENEZ','VICTOR','M',02/08/69,07/11/17,66,9059,
373,'GALLARDO','DEL TORO','SALVADOR','M',15/02/61,27/11/05,128,8038,
1,'CANO','MAYAGOITIA','ERLANTZ','M',14/02/61,27/10/98,200,9746,
2,'SOLER','DE OCA','JON','M',27/05/65,27/03/15,256,7415,
3,'HERNANDEZ','GARRIDO','FLORENTINO','M',27/06/94,03/10/16,106,7744,
4,'GALINDO','LOZANO','MARTA','F',09/07/83,10/10/06,394,7602,
5,'RUBIO','SANCHEZ','JOSE MARIA','M',31/05/81,07/01/14,259,7529,
6,'ROMERO','MORAN','EVARISTO','M',14/01/61,11/05/00,221,7155,
7,'COSIO','CRESPO','EUGENIA','F',11/02/93,10/10/04,108,7800,
8,'ALDAMA','VEGA','ARMANDO','M',16/10/89,21/09/05,131,7820,
9,'FUENTES','CALVO','CLEMENTE','M',19/05/83,12/07/00,217,8015,
10,'HERNANDEZ','ALAMEDA','JAIME','M',08/04/73,19/07/14,38,8008,
11,'SAUCEDO','NUÑEZ','JONE','F',13/11/86,01/10/05,266,7115,
12,'CORAL','GONZALEZ','JUAN','M',30/05/70,05/06/05,278,7996,
13,'JIMENEZ','HERRERA','MILTON','M',28/11/69,28/01/16,362,7408,
14,'NAVARRETE','IGLESIAS','AIORA','F',10/12/83,25/05/06,151,9382,
15,'FIDALGO','NUÑEZ','DANIEL','M',06/04/89,14/02/16,326,7815,
16,'CASIO','HIDALGO','CARLOS','M',03/08/85,11/02/15,75,9017,
17,'ROMERO','GONZALEZ','ASIER','M',27/04/65,27/08/11,178,7375,
18,'LOPEZ','GOMEZ','MANUEL DE JESUS','M',25/03/70,06/10/10,263,7788,
19,'COSIO','DE LA FUENTE','ELIAS','M',22/11/88,12/06/14,367,7993,
20,'MORALES','DEL PALACIO','LUIS MIGUEL','M',29/11/87,24/02/06,288,8044,
21,'REYES','MIGUELEZ','MARIA DEL PILAR','F',29/08/88,29/08/00,379,9412,
22,'ALANIS','DEL TORO','LIBE','F',25/11/67,25/09/17,65,7130,
23,'COTA','GUTIERREZ','AIORA','F',17/09/81,27/12/10,169,7754,
24,'GAMIZ','HIDALGO','NANCY','F',18/10/89,11/04/04,240,9702,
25,'BORRERO','OLVERA','MARIA DE JESUS','F',06/08/84,13/05/06,310,9405,
26,'VARELA','SOTO','AIUR','M',14/01/72,11/04/09,225,7815,
27,'RUIZ','VILALNUEVA','CARLOS','M',09/03/69,12/02/03,180,9741,
28,'LOPEZ','LOPEZ','SOFIA/SOFÍA','F',10/07/63,08/07/08,64,7764,
29,'MARTINEZ','SOLIS','MAURO','M',23/08/61,22/03/02,130,7352,
30,'PARGA','NUÑEZ','SELENE','F',11/12/90,25/08/13,204,7607,
31,'PIÑERA','GONZALEZ','JOEL','M',19/04/81,27/03/17,188,9703,
32,'REYES','FERNANDEZ','FLORENCIO','M',10/07/83,18/11/99,246,9421,
33,'PALACIOS','CRUZ','IVETTE','F',20/10/82,20/03/00,177,7168,
34,'GALVAN','ALLER','MARIA','M',23/02/88,04/02/13,314,7863,
35,'DEL PALACIO','PARRA','ARHANE','F',20/07/75,25/12/16,73,7395,
36,'ALAMEDA','FUENTES','MAITANE','F',08/08/90,14/03/02,68,7754,
37,'VAZQUEZ','SANTOS','ROSARIO','F',01/06/89,22/10/98,36,9363,
38,'VALDEZ','MARTIN','VALENTIN','M',14/07/72,26/02/10,290,7611,
39,'NEGRETE','MORENO','MARIO','M',08/12/70,05/03/10,194,8034,
40,'FIDALGO','PEYRO','GISELA','F',25/02/69,20/03/00,177,7749,
41,'BENITEZ','FLORES','CRISTINA','F',11/04/93,20/02/01,388,7529,
42,'RAMOS','GURROLA','EMILIANO','M',08/04/82,01/03/99,370,7142,
43,'ROMERO','MARISCAL','ABRAHAM','M',19/03/75,17/07/07,363,8002,
44,'CABRERA','DE LA FUENTE','GENOVEVA','F',17/03/61,04/01/03,353,8038,
45,'CASTILLA','RUIZ','ENARA','F',11/02/94,08/07/08,64,8004,
46,'MOYA','ULLOA','JOSUE','M',05/03/61,11/04/04,240,8006,
47,'MARTINEZ','PEREZ','MARIA','F',31/03/82,27/02/09,227,7174,
48,'VANEGAS','SARIÑANA','BRENDA','F',22/04/74,04/10/11,270,9701,
49,'HERREDA','GOMEZ','YAZMIN','F',10/08/96,21/11/09,258,7859,
50,'PADILLA','DELGADO','ANGELICA','F',18/02/77,30/11/02,380,7126,
51,'ALDAMA','DIEZ','NOHEMI','F',16/09/65,14/07/02,318,7832,
52,'AGUILAR','COLLINS','CELIA','F',19/01/63,11/04/09,225,7195,
53,'NAVARRETE','GALLARDO','ALONSO','M',25/07/77,14/10/16,197,7869,
54,'VILLEGAS','DIAZ','EVA','F',08/07/61,23/01/03,33,7166,
55,'PIÑA','PALACIOS','FIDEL','M',25/10/73,09/04/01,229,9707,
56,'CASTRO','MARTINEZ','CANDELARIO','M',22/03/78,29/01/06,349,7756,
57,'OCAÑA','RAMOS','PEDRO','M',17/10/83,19/11/11,34,7129,
58,'NUÑEZ','VELAZQUEZ','ISAIAS','M',13/08/69,03/02/11,124,7189,
59,'VILALNUEVA','GOMEZ','AIMAR','M',26/02/66,05/09/13,272,7786,
60,'MORA','SOLER','EMMA','F',02/05/88,24/02/99,3,7790,
61,'DIAZ','DEL BOSQUE','ALEJANDRA','F',20/09/61,01/02/15,244,7393,
62,'HERNANDEZ','SORIA','ENRIQUE','M',25/09/66,23/06/10,145,9712,
63,'LECHUGA','ORTEGA','TRINIDAD','F',08/06/88,20/02/07,207,9727,
64,'GONZALEZ','NAVARRO','MARIBEL','F',28/06/96,30/08/98,146,7149,
65,'MALO','MORALES','GARAZI','F',03/03/82,19/07/18,275,7171,
66,'SAEZ','MAYAGOITIA','ELIA','F',08/05/64,27/03/16,14,7331,
67,'ROMAN','GONZALEZ','FATIMA','F',02/05/79,07/07/09,276,9338,
68,'ALDAY','PIÑEYRO','AIORA','F',25/09/90,28/01/13,49,6967,
69,'LEDEZMA','NIETO','EKAI','M',21/04/70,09/11/16,250,9066,
70,'CORDERO','LOZANO','LIZBETH','F',05/06/68,24/11/10,285,7996,
71,'NUÑEZ','SAUCEDA','JAVIER','M',08/07/79,19/11/02,129,8033,
